id,year_birth,education,marital_status,income,kidhome,teenhome,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,z_costcontact,z_revenue,response
5524.0,1970-01-01 00:00:00.000001957,Graduation,Single,58138.0,0,0,04-09-2012,58,635,88,546,172.0,88.0,88,3,8,10.0,4,7,0,0,0,0,0,0,3,11,1
2174.0,1970-01-01 00:00:00.000001954,Graduation,Single,46344.0,1,1,08-03-2014,38,11,1,6,2.0,1.0,6,2,1,1.0,2,5,0,0,0,0,0,0,3,11,0
4141.0,1970-01-01 00:00:00.000001965,Graduation,Together,71613.0,0,0,21-08-2013,26,426,49,127,111.0,21.0,42,1,8,2.0,10,4,0,0,0,0,0,0,3,11,0
6182.0,1970-01-01 00:00:00.000001984,Graduation,Together,26646.0,1,0,10-02-2014,26,11,4,20,10.0,3.0,5,2,2,0.0,4,6,0,0,0,0,0,0,3,11,0
5324.0,1970-01-01 00:00:00.000001981,PhD,Married,58293.0,1,0,19-01-2014,94,173,43,118,46.0,27.0,15,5,5,3.0,6,5,0,0,0,0,0,0,3,11,0
7446.0,1970-01-01 00:00:00.000001967,Master,Together,62513.0,0,1,09-09-2013,16,520,42,98,0.0,42.0,14,2,6,4.0,10,6,0,0,0,0,0,0,3,11,0
965.0,1970-01-01 00:00:00.000001971,Graduation,Divorced,55635.0,0,1,13-11-2012,34,235,65,164,50.0,49.0,27,4,7,3.0,7,6,0,0,0,0,0,0,3,11,0
6177.0,1970-01-01 00:00:00.000001985,PhD,Married,33454.0,1,0,08-05-2013,32,76,10,56,3.0,1.0,23,2,4,0.0,4,8,0,0,0,0,0,0,3,11,0
4855.0,1970-01-01 00:00:00.000001974,PhD,Together,30351.0,1,0,06-06-2013,19,14,0,24,3.0,3.0,2,1,3,0.0,2,9,0,0,0,0,0,0,3,11,1
5899.0,1970-01-01 00:00:00.000001950,PhD,Together,7705.92,1,1,13-03-2014,68,28,0,6,1.0,1.0,13,1,1,0.0,2,9,1,0,0,0,0,0,3,11,0
1994.0,1970-01-01 00:00:00.000001983,Graduation,Married,51381.5,1,0,15-11-2013,11,5,5,6,0.0,2.0,1,1,1,0.0,2,7,0,0,0,0,0,0,3,11,0
387.0,1970-01-01 00:00:00.000001976,Basic,Married,7705.92,0,0,13-11-2012,59,6,16,11,11.0,1.0,16,1,2,0.0,3,8,0,0,0,0,0,0,3,11,0
2125.0,1970-01-01 00:00:00.000001959,Graduation,Divorced,63033.0,0,0,15-11-2013,82,194,61,480,225.0,112.0,30,1,3,4.0,8,2,0,0,0,0,0,0,3,11,0
8180.0,1970-01-01 00:00:00.000001952,Master,Divorced,59354.0,1,1,15-11-2013,53,233,2,53,3.0,5.0,14,3,6,1.0,5,6,0,0,0,0,0,0,3,11,0
2569.0,1970-01-01 00:00:00.000001987,Graduation,Married,17323.0,0,0,10-10-2012,38,3,14,17,6.0,1.0,5,1,1,0.0,3,8,0,0,0,0,0,0,3,11,0
2114.0,1970-01-01 00:00:00.000001946,PhD,Single,82800.0,0,0,24-11-2012,23,1006,22,115,59.0,68.0,45,1,7,6.0,12,3,0,0,1,1,0,0,3,11,1
9736.0,1970-01-01 00:00:00.000001980,Graduation,Married,41850.0,1,1,24-12-2012,51,53,5,19,2.0,13.0,4,3,3,0.0,3,8,0,0,0,0,0,0,3,11,0
4939.0,1970-01-01 00:00:00.000001946,Graduation,Together,37760.0,0,0,31-08-2012,20,84,5,38,150.0,12.0,28,2,4,1.0,6,7,0,0,0,0,0,0,3,11,0
6565.0,1970-01-01 00:00:00.000001949,Master,Married,76995.0,0,1,28-03-2013,91,1012,80,498,0.0,16.0,176,2,11,4.0,9,5,0,0,0,1,0,0,3,11,0
2278.0,1970-01-01 00:00:00.000001985,2n Cycle,Single,33812.0,1,0,03-11-2012,86,4,17,19,30.0,24.0,39,2,2,1.0,3,6,0,0,0,0,0,0,3,11,0
9360.0,1970-01-01 00:00:00.000001982,Graduation,Married,37040.0,0,0,08-08-2012,41,86,2,73,69.0,38.0,48,1,4,2.0,5,8,0,0,0,0,0,0,3,11,0
5376.0,1970-01-01 00:00:00.000001979,Graduation,Married,7705.92,1,0,06-01-2013,42,1,1,915,1.0,1.0,1,10,0,10.610000000000127,2,1,0,0,0,0,0,0,3,11,0
1993.0,1970-01-01 00:00:00.000001949,PhD,Married,58607.0,0,1,23-12-2012,63,867,0,86,0.0,0.0,19,3,2,3.0,9,8,0,1,0,0,0,0,3,11,0
4047.0,1970-01-01 00:00:00.000001954,PhD,Married,65324.0,0,1,11-01-2014,0,384,0,102,21.0,32.0,5,3,6,2.0,9,4,0,0,0,0,0,0,3,11,0
1409.0,1970-01-01 00:00:00.000001951,Graduation,Together,40689.0,0,1,18-03-2013,69,270,3,27,39.0,6.0,99,7,7,1.0,5,8,0,0,0,0,0,0,3,11,0
7892.0,1970-01-01 00:00:00.000001969,Graduation,Single,18589.0,0,0,02-01-2013,89,6,4,25,15.0,12.0,13,2,2,1.0,3,7,0,0,0,0,0,0,3,11,0
2404.0,1970-01-01 00:00:00.000001976,Graduation,Married,53359.0,1,1,27-05-2013,4,173,4,30,3.0,6.0,41,4,5,1.0,4,7,0,0,0,0,0,0,3,11,0
5255.0,1970-01-01 00:00:00.000001986,Graduation,Single,51381.5,1,0,20-02-2013,19,5,1,3,3.0,177.22000000000025,227,0,11,0.0,2,1,0,0,0,0,0,0,3,11,0
9422.0,1970-01-01 00:00:00.000001989,Graduation,Married,38360.0,1,0,31-05-2013,26,36,2,42,20.0,21.0,10,2,2,1.0,4,3,0,0,0,0,0,0,3,11,0
